security_id,underlying_symbol_raw,effective_from,effective_to,lot_size,source_as_of_date,source_contract_file,source_sha256,evidence_status
SEC_ccc8c6105bc7c920,MAZDOCK,2026-04-28,2026-08-12,225,2026-04-28,NSE_FO_contract_28042026.csv.gz,d8c239b3ad29e90a35b89b83333e4767d16182d92d8bf161a4382260a69fa7f7,OFFICIAL_DAILY_CONTRACT_FILE
SEC_cf46cd7c4bc44082,PETRONET,2024-10-31,2025-06-25,1500,2024-10-31,NSE_FO_contract_31102024.csv.gz,1e900d0dbfd98cec9727a5d260781cf6e10eb8ae62942b405b6d33ae421cf7fe,OFFICIAL_DAILY_CONTRACT_FILE
SEC_cf46cd7c4bc44082,PETRONET,2025-04-24,2025-12-29,1800,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_cf46cd7c4bc44082,PETRONET,2025-10-28,2026-08-12,1900,2025-10-28,NSE_FO_contract_28102025.csv.gz,35279f961edc944bfaee7f67aeb838605ba1901e465a216d724f7106ffbfb4c0,OFFICIAL_DAILY_CONTRACT_FILE
SEC_cf46cd7c4bc44082,PETRONET,2024-07-01,2024-10-30,3000,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d09d9b1abd2eb296,PEL,2024-07-01,2025-07-30,750,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d0b04de510022f85,HCLTECH,2024-07-01,2026-06-29,350,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d0b04de510022f85,HCLTECH,2026-04-28,2026-08-12,400,2026-04-28,NSE_FO_contract_28042026.csv.gz,d8c239b3ad29e90a35b89b83333e4767d16182d92d8bf161a4382260a69fa7f7,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d0d291bbe449292d,PREMIERENE,2025-12-30,2026-06-29,575,2025-12-30,NSE_FO_contract_30122025.csv.gz,416b2340d3f91c273076fe5777b1ece6bf2486c4f31b1c76e4fb8a96d1aff283,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d0d291bbe449292d,PREMIERENE,2026-04-28,2026-08-12,650,2026-04-28,NSE_FO_contract_28042026.csv.gz,d8c239b3ad29e90a35b89b83333e4767d16182d92d8bf161a4382260a69fa7f7,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d49a26803de54b46,CYIENT,2024-11-28,2025-06-25,300,2024-11-28,NSE_FO_contract_28112024.csv.gz,3cd76037fc337fc91858f75850f723f2f95df5a50eb1e33f56d8f0faa097ea1e,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d49a26803de54b46,CYIENT,2025-04-24,2025-12-29,425,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d523ad813961de33,HFCL,2024-11-28,2025-06-25,4150,2024-11-28,NSE_FO_contract_28112024.csv.gz,3cd76037fc337fc91858f75850f723f2f95df5a50eb1e33f56d8f0faa097ea1e,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d523ad813961de33,HFCL,2025-04-24,2025-12-29,6450,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d62b2872241fdc66,BIOCON,2024-07-01,2026-08-12,2500,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d7dd35db6d96bc2c,NAVINFLUOR,2024-07-01,2025-02-25,175,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d8074aeda81f2537,METROPOLIS,2024-07-01,2025-02-25,400,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d9132ba63de1d781,RADICO,2026-05-26,2026-08-12,150,2026-05-26,NSE_FO_contract_26052026.csv.gz,37d6a421a3a890476975b82f801fad7fbeeb7cc49a9ba18473c4da84308bdfbb,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d920c6c41c554a65,JKCEMENT,2024-07-01,2025-03-26,125,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d9b894284fb233c2,INDIANB,2024-11-28,2025-06-25,950,2024-11-28,NSE_FO_contract_28112024.csv.gz,3cd76037fc337fc91858f75850f723f2f95df5a50eb1e33f56d8f0faa097ea1e,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d9b894284fb233c2,INDIANB,2025-04-24,2026-08-12,1000,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d9e55eb8d2e9cafe,DALBHARAT,2024-07-01,2025-06-25,275,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_d9e55eb8d2e9cafe,DALBHARAT,2025-04-24,2026-08-12,325,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_da418a65e2828902,LTF,2025-10-28,2026-08-12,2250,2025-10-28,NSE_FO_contract_28102025.csv.gz,35279f961edc944bfaee7f67aeb838605ba1901e465a216d724f7106ffbfb4c0,OFFICIAL_DAILY_CONTRACT_FILE
SEC_da418a65e2828902,LTF,2024-07-01,2025-12-29,4462,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_dac7b765207a3589,JSWSTEEL,2024-07-01,2026-08-12,675,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_dae8d83bd039a2bd,PHOENIXLTD,2025-01-30,2026-08-12,350,2025-01-30,NSE_FO_contract_30012025.csv.gz,f22a4408b94abf6cc9710c1126a7467d8f1669f25249b52679e4e30ba24fdea6,OFFICIAL_DAILY_CONTRACT_FILE
SEC_db6d680b4ad67f43,TATASTEEL,2026-04-28,2026-08-12,2750,2026-04-28,NSE_FO_contract_28042026.csv.gz,d8c239b3ad29e90a35b89b83333e4767d16182d92d8bf161a4382260a69fa7f7,OFFICIAL_DAILY_CONTRACT_FILE
SEC_db6d680b4ad67f43,TATASTEEL,2024-07-01,2026-04-27,5500,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_dc3fcfa775dda815,LTIM,2024-07-01,2026-02-25,150,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_dc3fcfa775dda815,LTM,2026-02-27,2026-08-12,150,2026-02-27,NSE_FO_contract_27022026.csv.gz,9d883afa8a944bc0f116b5d61d1f22c21121adbde04a83b07bf53160182c03e5,OFFICIAL_DAILY_CONTRACT_FILE
SEC_dca0f85b58469b89,IRCTC,2024-07-01,2026-02-23,875,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_deaea8c656524c48,AUROPHARMA,2024-07-01,2026-08-12,550,2024-07-01,NSE_FO_contract_01072024.csv.gz,d1d6d16bc4c362661ee1ea77c1bae938b18bea016697fafc2ee00c52a2c13a0c,OFFICIAL_DAILY_CONTRACT_FILE
SEC_def50b3d767810fa,ATGL,2024-11-28,2025-06-25,775,2024-11-28,NSE_FO_contract_28112024.csv.gz,3cd76037fc337fc91858f75850f723f2f95df5a50eb1e33f56d8f0faa097ea1e,OFFICIAL_DAILY_CONTRACT_FILE
SEC_def50b3d767810fa,ATGL,2025-04-24,2025-08-26,875,2025-04-24,NSE_FO_contract_24042025.csv.gz,d5d15a4ba92b76a42ca5062762479e19c904802aa293618b287baf2217213975,OFFICIAL_DAILY_CONTRACT_FILE
SEC_df523edf738eec96,WAAREEENER,2025-12-30,2026-08-12,175,2025-12-30,NSE_FO_contract_30122025.csv.gz,416b2340d3f91c273076fe5777b1ece6bf2486c4f31b1c76e4fb8a96d1aff283,OFFICIAL_DAILY_CONTRACT_FILE
